Ricky Gervais:rickygervais
Patton Oswalt:pattonoswalt
Howard Stern:HowardStern
Conan O'Brien:ConanOBrien
Kevin Nealon:kevin_nealon
Kevin Hart:KevinHart4real
Dane Cook:danecook
Adam Carolla:adamcarolla
George Lopez:Georgelopez
Russell Brand:rustyrockets
Sarah Silverman:SarahKSilverman
Joe Rogan:joerogan
Carrot Top:realcarrottop
Bob Saget:bobsaget
Andy Dick:andydick
Jamie Kennedy:jamiekennedy
Tyler Perry:tylerperry
John Cleese:johncleese
Margaret Cho:margaretcho
Bill Maher:Billmaher
Larry the Cable Guy:gitrdonelarry
Lisa Lampanelli:lisalampanelli
Jeff Dunham:Jeffdunham
Carlos Mencia:Carlosmencia
Jim Gaffigan:jimgaffigan
Katt Williams:kattPackAllday
Zach Galifianakis:galifianakisz
Marlon Wayans:MarlonWayans
Jim Breuer:JimBreuer
David Alan Grier:davidAlanGrier
Tom Green:tomgreenlive
David Spade:DavidSpade
Dave Attell:attell
