Nene Leakes:NENELeakes
Brandi Glanville:BrandiGlanville
Tamra Barney:TamraBarney
Melissa Gorga:melissagorga
Jacqueline Laurita:JacLaurita
Teresa Guidice:Teresa_Giudice
Kyle Richards:KyleRichards18
Kandi Burruss:Kandi
Snooki:snooki
Kendall Jenner:KendallJenner
Kylie Jenner:KylieJenner
Perez Hilton:perezhilton
Kourtney Kardashian:KourtneyKardash
Khloe Kardashian:khloekardashian
Kim Kardashian:KimKardashian
Kendra Wilkinson:KendraWilkinson
Holly Madison:hollymadison
Paris Hilton:parishilton
Nicole Richie:nicolerichie
Lauren Conrad:LaurenConrad
Lo Bosworth:LoboSworth
Stephanie Pratt:StephaniePratt
Audrina Patridge:AudrinaPatridge
Brody Jenner:brodyjenner
Heidi Montag:heidimontag
Spencer Pratt:spencerpratt
Kat Von D:thekatvond
Wee Man:IamWeeman
Chris Pontius:ChrisPontius
Shanna Moakler:ShannaMoakler
Kelly Osbourne:KellyOsbourne
Bethenny Frankel:bethenny
Jeffrey Star:jeffreestar
Brittny Gastineau:BrittGastineau
Ivanka Trump:IvankaTrump
Jill Zarin:Jillzarin
