Cristiano Ronaldo:Cristiano
Kelly Slater:kellyslater
Ryan Sheckler:RyanSheckler
Tony Hawk:tonyhawk
Rob Dyrdek:robDyrdek
Terrel Owens:terrellowens
Reggie Bush:ReggieBush
Chad Johnson:ochocinco
Nick Swisher:NickSwisher
Lamar Odom:ReaLLamarOdom
Shaquille O'Neal:SHAQ
Steve Nash:SteveNash
Paul Pierce:paulpierce34
Shawne Merriman:shawnemerriman
King James:KingJames
Kasey Kahne:KASEYKAHNE
Kyle Busch:KyleBusch
Brian Vickers:BrianLVickers
Robby Gordon:RobbyGordon
Danica Patrick:danicapatrick
John Cena:JohnCena
Chris Jericho:iamjericho
Matt Hardy:matthardybrand
Jillian Hall:jillianhall1
Justin Roberts:announcerjustin
Kelly Kelly:TheBarbieBlank
Layla El:mslayel
Shannon Moore:Theshannonbrand
Torrie Wilson:torrie11
Serena Williams:serenawilliams
Andy Murray:andy_murray
Natalie Gulbis:natalie_gulbis
Michael Phelps:MichaelPhelps
Nastia Liukin:NastiaLiukin
Shawn Johnson:ShawnJohnson
Kobe Bryant:kobebryant
Rajon Rondo:RajonRondo
